time,G_Gh,G_Dh,G_Gk,G_Bn,Tamb,HR, hs, Az,precip, Td
2005-01-04 21:00:00+00:00,0,0,0,0,7.4,78,0.0,90.1,0.0,3.8
2005-01-04 22:00:00+00:00,0,0,0,0,6.6,79,0.0,100.3,0.0,3.3
2005-01-04 23:00:00+00:00,0,0,0,0,5.9,83,0.0,115.2,0.0,3.3
2005-01-05 00:00:00+00:00,0,0,0,0,5.5,87,0.0,-143.3,0.0,3.5
2005-01-05 01:00:00+00:00,0,0,0,0,5.0,93,0.0,-165.3,0.0,4.0
2005-01-05 02:00:00+00:00,0,0,0,0,4.6,94,0.0,-126.1,0.0,3.6
2005-01-05 03:00:00+00:00,0,0,0,0,4.3,89,0.0,-106.4,0.0,2.6
2005-01-05 04:00:00+00:00,0,0,0,0,4.1,90,0.0,-94.4,0.0,2.6
2005-01-05 05:00:00+00:00,0,0,0,0,3.9,89,0.0,-85.4,0.0,2.3
2005-01-05 06:00:00+00:00,0,0,0,0,3.7,86,0.0,-77.3,0.0,1.7
2005-01-05 07:00:00+00:00,0,0,0,0,3.6,92,0.0,-69.2,0.0,2.5
2005-01-05 08:00:00+00:00,4,4,2,0,3.7,92,0.4,-60.5,0.0,2.5
2005-01-05 09:00:00+00:00,98,78,155,112,5.1,85,10.3,-51.0,0.0,2.7
2005-01-05 10:00:00+00:00,204,148,295,172,6.6,77,18.8,-39.5,0.0,2.8
2005-01-05 11:00:00+00:00,302,173,469,303,8.1,68,25.4,-26.4,0.0,2.5
2005-01-05 12:00:00+00:00,416,180,686,483,9.6,63,29.3,-11.4,0.0,2.9
2005-01-05 13:00:00+00:00,499,99,892,798,11.1,53,30.1,4.1,0.0,1.9
2005-01-05 14:00:00+00:00,462,118,832,742,11.9,50,27.6,19.5,0.0,1.9
2005-01-05 15:00:00+00:00,295,138,511,415,12.0,51,22.2,33.5,0.0,2.3
2005-01-05 16:00:00+00:00,154,102,260,209,11.3,54,14.5,45.6,0.0,2.4
2005-01-05 17:00:00+00:00,33,31,39,15,10.1,63,5.2,56.2,0.0,3.3
2005-01-05 18:00:00+00:00,0,0,0,0,8.9,74,0.0,65.3,0.0,4.5
2005-01-05 19:00:00+00:00,0,0,0,0,8.6,69,0.0,73.4,0.0,3.2
2005-01-05 20:00:00+00:00,0,0,0,0,8.2,71,0.0,81.4,0.0,3.2
2005-01-05 21:00:00+00:00,0,0,0,0,7.9,69,0.0,90.1,0.0,2.6
2005-01-05 22:00:00+00:00,0,0,0,0,7.5,73,0.0,100.3,0.0,3.0
2005-01-05 23:00:00+00:00,0,0,0,0,7.1,75,0.0,115.2,0.0,3.0
2005-01-06 00:00:00+00:00,0,0,0,0,6.8,75,0.0,-143.2,0.0,2.7
2005-01-06 01:00:00+00:00,0,0,0,0,6.2,89,0.0,-166.0,1.0,4.6
2005-01-06 02:00:00+00:00,0,0,0,0,6.1,86,0.0,-126.3,0.2,3.9
2005-01-06 03:00:00+00:00,0,0,0,0,5.9,88,0.0,-106.5,0.0,4.1
2005-01-06 04:00:00+00:00,0,0,0,0,5.8,88,0.0,-94.6,0.0,3.9
2005-01-06 05:00:00+00:00,0,0,0,0,5.6,96,0.0,-85.5,0.0,5.0
2005-01-06 06:00:00+00:00,0,0,0,0,4.9,98,0.0,-77.4,2.9,4.6
2005-01-06 07:00:00+00:00,0,0,0,0,5.2,95,0.0,-69.3,0.5,4.5
2005-01-06 08:00:00+00:00,2,2,1,0,5.3,93,0.4,-60.5,0.3,4.4
2005-01-06 09:00:00+00:00,22,22,17,0,5.7,95,10.3,-51.1,0.0,5.0
2005-01-06 10:00:00+00:00,37,37,31,0,6.0,88,18.8,-39.6,0.0,4.2
2005-01-06 11:00:00+00:00,45,45,37,0,6.2,87,25.4,-26.5,0.1,4.2
2005-01-06 12:00:00+00:00,43,43,36,0,6.3,85,29.4,-11.5,0.0,4.0
2005-01-06 13:00:00+00:00,351,227,491,246,7.8,82,30.2,4.1,0.0,5.0
2005-01-06 14:00:00+00:00,320,239,435,176,8.8,74,27.7,19.4,0.0,4.6
2005-01-06 15:00:00+00:00,244,182,339,163,9.3,72,22.3,33.5,0.0,4.6
2005-01-06 16:00:00+00:00,163,94,288,272,9.4,70,14.7,45.6,0.0,4.3
2005-01-06 17:00:00+00:00,53,32,153,225,9.0,69,5.3,56.2,0.0,3.6
2005-01-06 18:00:00+00:00,0,0,0,0,8.4,69,0.0,65.3,0.0,3.1
2005-01-06 19:00:00+00:00,0,0,0,0,7.9,72,0.0,73.4,0.0,3.1
2005-01-06 20:00:00+00:00,0,0,0,0,7.4,73,0.0,81.5,0.0,2.9
2005-01-06 21:00:00+00:00,0,0,0,0,6.8,77,0.0,90.2,0.0,3.1
2005-01-06 22:00:00+00:00,0,0,0,0,6.3,75,0.0,100.3,0.0,2.2
2005-01-06 23:00:00+00:00,0,0,0,0,5.7,75,0.0,115.3,0.0,1.6
2005-01-07 00:00:00+00:00,0,0,0,0,5.2,68,0.0,-143.2,0.0,-0.2
2005-01-07 01:00:00+00:00,0,0,0,0,4.6,72,0.0,-166.3,0.0,0.0
2005-01-07 02:00:00+00:00,0,0,0,0,4.0,76,0.0,-126.6,0.0,0.2
2005-01-07 03:00:00+00:00,0,0,0,0,3.7,77,0.0,-107.1,0.0,0.1
2005-01-07 04:00:00+00:00,0,0,0,0,3.4,80,0.0,-95.1,0.0,0.3
2005-01-07 05:00:00+00:00,0,0,0,0,3.1,80,0.0,-85.6,0.0,-0.1
2005-01-07 06:00:00+00:00,0,0,0,0,2.9,85,0.0,-77.5,0.0,0.5
2005-01-07 07:00:00+00:00,0,0,0,0,2.6,92,0.0,-69.4,0.0,1.4
2005-01-07 08:00:00+00:00,3,3,2,0,2.7,92,0.4,-61.0,0.0,1.6
2005-01-07 09:00:00+00:00,139,43,353,536,4.7,85,10.3,-51.2,0.0,2.4
2005-01-07 10:00:00+00:00,291,55,600,728,6.9,76,18.9,-40.1,0.0,3.0
2005-01-07 11:00:00+00:00,416,58,782,831,8.9,63,25.5,-26.6,0.0,2.3
2005-01-07 12:00:00+00:00,485,66,876,852,10.5,55,29.5,-11.6,0.0,1.9
2005-01-07 13:00:00+00:00,496,71,888,842,11.7,52,30.3,4.0,0.0,2.1
2005-01-07 14:00:00+00:00,457,63,837,843,12.3,50,27.9,19.4,0.0,2.2
2005-01-07 15:00:00+00:00,367,51,718,825,12.4,51,22.5,33.5,0.0,2.6
2005-01-07 16:00:00+00:00,223,46,503,692,11.8,53,14.8,45.6,0.0,2.6
2005-01-07 17:00:00+00:00,73,34,236,416,10.5,58,5.5,56.2,0.0,2.7
2005-01-07 18:00:00+00:00,0,0,0,0,9.1,74,0.0,65.3,0.0,4.8
2005-01-07 19:00:00+00:00,0,0,0,0,8.6,74,0.0,73.5,0.0,4.2
2005-01-07 20:00:00+00:00,0,0,0,0,8.0,80,0.0,81.5,0.0,4.8
2005-01-07 21:00:00+00:00,0,0,0,0,7.5,85,0.0,90.2,0.0,5.1
2005-01-07 22:00:00+00:00,0,0,0,0,6.9,87,0.0,100.4,0.0,5.0
2005-01-07 23:00:00+00:00,0,0,0,0,6.4,92,0.0,115.3,0.0,5.1
2005-01-08 00:00:00+00:00,0,0,0,0,5.9,89,0.0,-143.1,0.0,4.3
2005-01-08 01:00:00+00:00,0,0,0,0,5.4,99,0.0,-166.6,0.0,5.3
2005-01-08 02:00:00+00:00,0,0,0,0,5.0,100,0.0,-127.2,0.0,5.0
2005-01-08 03:00:00+00:00,0,0,0,0,4.7,100,0.0,-107.3,0.0,4.7
2005-01-08 04:00:00+00:00,0,0,0,0,4.5,100,0.0,-95.2,0.0,4.5
2005-01-08 05:00:00+00:00,0,0,0,0,4.2,100,0.0,-86.1,0.0,4.2
2005-01-08 06:00:00+00:00,0,0,0,0,4.1,100,0.0,-77.6,0.0,4.1
2005-01-08 07:00:00+00:00,0,0,0,0,3.9,100,0.0,-69.5,0.0,3.9
2005-01-08 08:00:00+00:00,4,4,2,0,4.0,100,0.4,-61.1,0.0,4.0
2005-01-08 09:00:00+00:00,164,87,348,431,5.9,99,10.3,-51.3,0.0,5.8
2005-01-08 10:00:00+00:00,224,138,359,264,7.0,92,18.9,-40.2,0.0,5.8
2005-01-08 11:00:00+00:00,253,199,335,125,7.8,89,25.6,-27.1,0.0,6.0
2005-01-08 12:00:00+00:00,392,203,602,383,8.9,81,29.6,-12.1,0.0,5.9
2005-01-08 13:00:00+00:00,336,243,453,183,9.4,80,30.5,3.5,0.0,6.2
2005-01-08 14:00:00+00:00,199,190,200,20,9.2,81,28.0,19.3,0.0,6.2
2005-01-08 15:00:00+00:00,111,111,101,0,8.6,80,22.7,33.4,0.0,5.4
2005-01-08 16:00:00+00:00,63,63,56,0,7.9,83,15.0,45.6,0.0,5.2
2005-01-08 17:00:00+00:00,6,6,4,0,7.1,84,5.7,56.2,0.0,4.6
2005-01-08 18:00:00+00:00,0,0,0,0,6.5,86,0.0,65.3,0.0,4.3
2005-01-08 19:00:00+00:00,0,0,0,0,6.1,88,0.0,73.5,0.0,4.2
2005-01-08 20:00:00+00:00,0,0,0,0,5.8,86,0.0,81.5,0.0,3.7
2005-01-08 21:00:00+00:00,0,0,0,0,5.5,91,0.0,90.3,0.0,4.1
2005-01-08 22:00:00+00:00,0,0,0,0,5.1,88,0.0,100.4,0.0,3.3
2005-01-08 23:00:00+00:00,0,0,0,0,4.8,93,0.0,115.4,0.0,3.8
2005-01-09 00:00:00+00:00,0,0,0,0,4.5,94,0.0,-143.1,0.0,3.7
2005-01-09 01:00:00+00:00,0,0,0,0,4.2,97,0.0,-167.3,0.1,3.8
2005-01-09 02:00:00+00:00,0,0,0,0,3.9,97,0.0,-127.5,0.4,3.5
2005-01-09 03:00:00+00:00,0,0,0,0,3.6,98,0.0,-107.5,1.6,3.3
2005-01-09 04:00:00+00:00,0,0,0,0,3.8,98,0.0,-95.4,0.0,3.5
2005-01-09 05:00:00+00:00,0,0,0,0,3.6,97,0.0,-86.2,0.0,3.3
2005-01-09 06:00:00+00:00,0,0,0,0,3.6,98,0.0,-78.1,0.0,3.3
2005-01-09 07:00:00+00:00,0,0,0,0,3.5,98,0.0,-70.0,0.0,3.2
2005-01-09 08:00:00+00:00,2,2,1,0,3.6,98,0.4,-61.2,0.0,3.3
2005-01-09 09:00:00+00:00,23,23,18,0,3.9,98,10.4,-51.4,0.0,3.6
2005-01-09 10:00:00+00:00,27,27,22,0,4.1,94,19.0,-40.3,0.0,3.2
2005-01-09 11:00:00+00:00,55,55,46,0,4.4,91,25.7,-27.1,0.0,3.1
2005-01-09 12:00:00+00:00,90,90,79,0,4.9,93,29.7,-12.1,0.0,3.8
2005-01-09 13:00:00+00:00,405,225,610,355,6.8,85,30.6,3.5,0.0,4.5
2005-01-09 14:00:00+00:00,387,152,651,498,8.2,76,28.2,19.3,0.0,4.2
2005-01-09 15:00:00+00:00,307,128,538,462,8.8,68,22.8,33.4,0.0,3.4
2005-01-09 16:00:00+00:00,191,75,385,444,9.0,67,15.1,45.6,0.0,3.2
2005-01-09 17:00:00+00:00,65,41,172,241,8.4,68,5.8,56.3,0.0,2.9
2005-01-09 18:00:00+00:00,0,0,0,0,7.7,72,0.0,65.3,0.0,3.0
2005-01-09 19:00:00+00:00,0,0,0,0,7.4,72,0.0,73.5,0.0,2.7
2005-01-09 20:00:00+00:00,0,0,0,0,7.0,74,0.0,81.6,0.0,2.6
2005-01-09 21:00:00+00:00,0,0,0,0,6.7,67,0.0,90.3,0.0,1.1
2005-01-09 22:00:00+00:00,0,0,0,0,6.4,70,0.0,100.5,0.0,1.3
2005-01-09 23:00:00+00:00,0,0,0,0,6.0,72,0.0,115.4,0.0,1.5
2005-01-10 00:00:00+00:00,0,0,0,0,5.6,75,0.0,-143.1,0.0,1.6
2005-01-10 01:00:00+00:00,0,0,0,0,5.2,80,0.0,-167.5,0.0,2.1
2005-01-10 02:00:00+00:00,0,0,0,0,4.8,83,0.0,-128.1,0.0,2.2
2005-01-10 03:00:00+00:00,0,0,0,0,4.5,80,0.0,-108.1,0.0,1.4
2005-01-10 04:00:00+00:00,0,0,0,0,4.3,80,0.0,-95.5,0.0,1.2
2005-01-10 05:00:00+00:00,0,0,0,0,4.1,80,0.0,-86.3,0.0,1.0
2005-01-10 06:00:00+00:00,0,0,0,0,3.9,81,0.0,-78.2,0.0,0.9
2005-01-10 07:00:00+00:00,0,0,0,0,3.7,76,0.0,-70.1,0.0,0.0
2005-01-10 08:00:00+00:00,4,4,3,0,3.8,75,0.4,-61.3,0.0,-0.1
2005-01-10 09:00:00+00:00,108,65,208,234,5.3,68,10.4,-51.5,0.0,-0.1
2005-01-10 10:00:00+00:00,194,151,269,131,6.5,63,19.1,-40.4,0.0,0.1
2005-01-10 11:00:00+00:00,305,214,424,208,7.9,61,25.8,-27.2,0.0,0.8
2005-01-10 12:00:00+00:00,308,237,405,142,8.8,60,29.9,-12.2,0.0,1.4
2005-01-10 13:00:00+00:00,185,182,177,7,8.7,63,30.8,3.4,0.0,2.1
2005-01-10 14:00:00+00:00,171,169,164,6,8.7,65,28.3,19.3,0.1,2.5
2005-01-10 15:00:00+00:00,217,175,286,107,8.7,80,23.0,33.4,0.2,5.5
2005-01-10 16:00:00+00:00,128,106,175,83,8.2,86,15.3,45.6,1.1,6.1
2005-01-10 17:00:00+00:00,8,8,5,0,7.6,82,6.0,56.3,0.0,4.8
2005-01-10 18:00:00+00:00,0,0,0,0,6.9,82,0.0,65.4,0.0,4.1
2005-01-10 19:00:00+00:00,0,0,0,0,6.3,82,0.0,73.6,0.0,3.5
2005-01-10 20:00:00+00:00,0,0,0,0,5.7,82,0.0,82.0,0.0,3.0
2005-01-10 21:00:00+00:00,0,0,0,0,5.2,82,0.0,90.4,0.0,2.4
2005-01-10 22:00:00+00:00,0,0,0,0,4.6,82,0.0,100.6,0.0,1.9
2005-01-10 23:00:00+00:00,0,0,0,0,4.0,85,0.0,115.5,0.0,1.7
2005-01-11 00:00:00+00:00,0,0,0,0,3.6,90,0.0,-143.1,0.0,2.1
2005-01-11 01:00:00+00:00,0,0,0,0,3.1,93,0.0,-168.2,0.0,2.1
2005-01-11 02:00:00+00:00,0,0,0,0,2.7,92,0.0,-128.4,0.0,1.5
2005-01-11 03:00:00+00:00,0,0,0,0,2.5,92,0.0,-108.3,0.0,1.3
2005-01-11 04:00:00+00:00,0,0,0,0,2.3,92,0.0,-96.1,0.0,1.2
2005-01-11 05:00:00+00:00,0,0,0,0,2.0,90,0.0,-86.5,0.0,0.6
2005-01-11 06:00:00+00:00,0,0,0,0,1.9,94,0.0,-78.3,0.0,1.1
2005-01-11 07:00:00+00:00,0,0,0,0,1.8,100,0.0,-70.2,0.0,1.8
2005-01-11 08:00:00+00:00,4,4,2,0,1.9,100,0.4,-61.4,0.0,1.9
2005-01-11 09:00:00+00:00,151,38,387,625,4.2,94,10.5,-52.0,0.0,3.4
2005-01-11 10:00:00+00:00,314,47,642,815,6.7,80,19.1,-40.5,0.0,3.5
2005-01-11 11:00:00+00:00,449,51,840,912,9.0,60,25.9,-27.3,0.0,1.7
2005-01-11 12:00:00+00:00,527,54,949,947,10.9,54,30.0,-12.3,0.0,1.9
2005-01-11 13:00:00+00:00,544,55,972,952,12.3,50,30.9,3.4,0.0,2.2
2005-01-11 14:00:00+00:00,501,53,913,939,12.9,47,28.5,19.2,0.0,1.9
2005-01-11 15:00:00+00:00,399,51,769,885,13.0,46,23.2,33.4,0.0,1.7
2005-01-11 16:00:00+00:00,250,45,548,769,12.6,47,15.5,45.6,0.0,1.7
2005-01-11 17:00:00+00:00,86,30,275,526,11.2,54,6.1,56.3,0.0,2.2
2005-01-11 18:00:00+00:00,0,0,0,0,9.6,68,0.0,65.4,0.0,4.2
2005-01-11 19:00:00+00:00,0,0,0,0,8.8,70,0.0,74.0,0.0,3.6
2005-01-11 20:00:00+00:00,0,0,0,0,7.9,74,0.0,82.1,0.0,3.6
2005-01-11 21:00:00+00:00,0,0,0,0,7.0,76,0.0,90.4,0.0,3.1
2005-01-11 22:00:00+00:00,0,0,0,0,6.1,77,0.0,101.0,0.0,2.5
2005-01-11 23:00:00+00:00,0,0,0,0,5.2,80,0.0,115.6,0.0,2.1
2005-01-12 00:00:00+00:00,0,0,0,0,4.3,81,0.0,-143.1,0.0,1.3
2005-01-12 01:00:00+00:00,0,0,0,0,3.2,85,0.0,-168.5,0.0,0.9
2005-01-12 02:00:00+00:00,0,0,0,0,2.1,84,0.0,-129.1,0.0,-0.4
2005-01-12 03:00:00+00:00,0,0,0,0,1.5,87,0.0,-108.5,0.0,-0.4
2005-01-12 04:00:00+00:00,0,0,0,0,0.8,89,0.0,-96.2,0.0,-0.7
2005-01-12 05:00:00+00:00,0,0,0,0,0.2,90,0.0,-87.0,0.0,-1.3
2005-01-12 06:00:00+00:00,0,0,0,0,-0.3,91,0.0,-78.4,0.0,-1.6
2005-01-12 07:00:00+00:00,0,0,0,0,-0.7,92,0.0,-70.3,0.0,-1.9
2005-01-12 08:00:00+00:00,4,4,3,0,-0.8,88,0.5,-61.5,0.0,-2.5
2005-01-12 09:00:00+00:00,134,52,316,446,0.5,79,10.5,-52.1,0.0,-2.6
2005-01-12 10:00:00+00:00,258,90,495,513,1.8,71,19.2,-40.6,0.0,-2.9
2005-01-12 11:00:00+00:00,393,95,717,681,3.1,69,26.0,-27.4,0.0,-1.9
2005-01-12 12:00:00+00:00,468,103,828,728,4.2,60,30.1,-12.4,0.0,-2.8
2005-01-12 13:00:00+00:00,498,85,881,799,5.0,59,31.1,3.3,0.0,-2.3
2005-01-12 14:00:00+00:00,451,85,811,763,5.3,57,28.7,19.2,0.0,-2.4
2005-01-12 15:00:00+00:00,353,80,668,690,5.3,56,23.3,33.4,0.0,-2.7
2005-01-12 16:00:00+00:00,216,65,455,560,4.7,63,15.7,46.0,0.0,-1.8
2005-01-12 17:00:00+00:00,70,35,200,321,3.6,64,6.3,56.3,0.0,-2.4
2005-01-12 18:00:00+00:00,0,0,0,0,2.5,68,0.0,65.4,0.0,-2.7
2005-01-12 19:00:00+00:00,0,0,0,0,1.8,76,0.0,74.1,0.0,-1.9
2005-01-12 20:00:00+00:00,0,0,0,0,1.2,82,0.0,82.1,0.0,-1.5
2005-01-12 21:00:00+00:00,0,0,0,0,0.5,82,0.0,90.5,0.0,-2.1
2005-01-12 22:00:00+00:00,0,0,0,0,-0.1,83,0.0,101.1,0.0,-2.7
2005-01-12 23:00:00+00:00,0,0,0,0,-0.8,91,0.0,116.0,0.0,-2.1
2005-01-13 00:00:00+00:00,0,0,0,0,-0.9,90,0.0,-143.1,0.0,-2.3
2005-01-13 01:00:00+00:00,0,0,0,0,-0.9,89,0.0,-169.1,0.0,-2.5
2005-01-13 02:00:00+00:00,0,0,0,0,-0.9,85,0.0,-129.4,0.0,-3.2
